# ReginIDs HIDs  HosthaloID Mvir[3] Xc Yc Zc[4-6]  Rvir[7] fMhires[8] cNFW[9] Mgas200[10] M*200[11] M500[12] R500[13] fgas500[14] f*500[15]
1.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.449620000000000000e+15 5.005578808845800231e+05 5.002248957992700161e+05 5.003096992179899826e+05 1.840470000000000027e+03 9.982569999999999499e-01 2.595089999999999897e+00 1.938280000000000000e+14 1.534820000000000000e+13 8.557608593750000000e+14 1.134104550922977523e+03 1.180204004049301147e-01 1.232320815324783325e-02
1.200000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.536050000000000000e+15 5.005369057084600208e+05 5.004882789047900005e+05 5.004880559943200205e+05 1.876349999999999909e+03 9.984009999999999829e-01 2.801029999999999909e+00 1.883340000000000000e+14 1.667240000000000000e+13 8.774021093750000000e+14 1.143510457971046890e+03 1.267776489257812500e-01 1.214767806231975555e-02
1.300000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.326370000000000000e+15 5.003842583688899758e+05 5.005145456713400199e+05 5.004721051260699751e+05 1.786759999999999991e+03 9.972720000000000473e-01 7.423460000000000392e+00 1.628870000000000000e+14 1.607640000000000000e+13 7.365789062500000000e+14 1.079172601758703422e+03 1.041947156190872192e-01 1.373642776161432266e-02
1.400000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.422580000000000000e+15 5.005104439360999968e+05 5.004542992188900243e+05 5.003941043630799977e+05 1.828960000000000036e+03 9.980769999999999920e-01 2.328710000000000058e+00 1.824830000000000000e+14 1.554850000000000000e+13 7.700780468750000000e+14 1.095153131852727483e+03 1.121769696474075317e-01 1.287994347512722015e-02
1.500000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.559660000000000000e+15 5.003637479115899769e+05 5.002312374216199969e+05 5.003816039952000137e+05 1.885910000000000082e+03 9.983349999999999724e-01 7.422710000000000363e+00 2.016540000000000000e+14 1.701590000000000000e+13 1.209401406250000000e+15 1.271967760215731232e+03 1.257878690958023071e-01 1.179294474422931671e-02
1.600000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.655870000000000000e+15 5.006222367101300042e+05 5.007192844736399711e+05 5.006736756112700095e+05 1.923920000000000073e+03 9.987869999999999804e-01 3.953089999999999993e+00 2.068100000000000000e+14 1.825130000000000000e+13 1.077174531250000000e+15 1.224070246106283548e+03 1.282933056354522705e-01 1.170307118445634842e-02
1.700000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.284980000000000000e+15 5.004465613100299961e+05 5.002997567256300244e+05 5.003781186209800071e+05 1.767980000000000018e+03 9.983440000000000092e-01 8.556869999999999976e+00 1.839110000000000000e+14 1.338050000000000000e+13 7.431722656250000000e+14 1.082302316157726182e+03 1.336904317140579224e-01 1.113660167902708054e-02
1.800000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.388250000000000000e+15 5.006180446506500011e+05 5.005673221463999944e+05 5.004857424171500024e+05 1.814130000000000109e+03 9.983469999999999844e-01 1.740630000000000166e+01 2.018730000000000000e+14 1.451270000000000000e+13 9.340154687500000000e+14 1.167462020601712084e+03 1.339348852634429932e-01 1.172638218849897385e-02
1.900000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.357280000000000000e+15 5.006339565912900143e+05 5.005349890391000081e+05 5.006104310353599722e+05 1.800539999999999964e+03 9.980670000000000375e-01 2.448840000000000128e+00 1.884910000000000000e+14 1.461290000000000000e+13 8.149878906250000000e+14 1.115891011832831964e+03 1.323060393333435059e-01 1.126551069319248199e-02
2.000000000000000000e+01 1.280000000000020000e+14 0.000000000000000000e+00 1.223640000000000000e+15 5.003455612691499991e+05 5.005162880158700282e+05 5.005610195310100098e+05 1.739390000000000100e+03 9.985490000000000199e-01 1.046930000000000049e+01 1.595620000000000000e+14 1.406900000000000000e+13 7.683998437500000000e+14 1.094352639638556639e+03 1.152606010437011719e-01 1.399229187518358231e-02
2.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.381360000000000000e+15 5.003795568589799805e+05 5.002907850565700210e+05 5.004970904632899910e+05 1.811119999999999891e+03 9.981330000000000480e-01 2.856869999999999976e+01 1.918560000000000000e+14 1.638690000000000000e+13 8.582874218750000000e+14 1.135198703331510160e+03 1.318059414625167847e-01 1.201556250452995300e-02
2.200000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 8.925850000000000000e+14 5.004541098981599789e+05 5.002773379847999895e+05 5.003394902561599738e+05 1.565769999999999982e+03 9.983619999999999717e-01 1.173700000000000010e+01 1.296050000000000000e+14 9.613100000000000000e+12 5.556115234375000000e+14 9.829876475842083892e+02 1.327952742576599121e-01 1.196354255080223083e-02
2.300000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.418550000000000000e+15 5.003657098169699893e+05 5.001843991103000008e+05 5.005427709332199884e+05 1.827230000000000018e+03 9.985230000000000494e-01 8.130810000000000315e+00 1.734350000000000000e+14 1.700010000000000000e+13 9.236443750000000000e+14 1.163177910905650606e+03 1.202782392501831055e-01 1.317202486097812653e-02
