# Omega_m=0.28 Omega_lambda=0.72 H_0=70 
# ------------------------------------------------------------
# Mtrue      : true mass within r_{500}^{true}
# Ms         : stellar mass within r_{500}^{true}
# Mg         : gas mass within r_{500}^{true}
# Mbcg       : bcg stellar mass
# ------------------------------------------------------------
# MsE(z)     : bestfit of MsE(z) relation [h_{70}^{-1}Msun]
# MsE(z)_p   : upper limit of MsE(z) relation [h_{70}^{-1}Msun]
# MsE(z)_m   : lower limit of MsE(z) relation [h_{70}^{-1}Msun]
# MgE(z)     : bestfit of MgE(z) relation [h_{70}^{-1}Msun]
# MgE(z)_p   : upper limit of MgE(z) relation [h_{70}^{-1}Msun]
# MgE(z)_m   : lower limit of MgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)   : bestfit of MbcgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)_p : upper limit of MbcgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)_m : lower limit of MbcgE(z) relation [h_{70}^{-1}Msun]
# ------------------------------------------------------------
# MtrueE(z) MsE(z) MsE(z)_p MsE(z)_m MgE(z) MgE(z)_p MgE(z)_m MbcgE(z) MbcgE(z)_p MbcgE(z)_m
4.167386e+12 1.523680e+11 2.000997e+11 1.071625e+11 1.286922e+11 1.747772e+11 8.260710e+10 8.464560e+10 1.120834e+11 6.115954e+10
4.218617e+12 1.539353e+11 2.019477e+11 1.084138e+11 1.307103e+11 1.773567e+11 8.406391e+10 8.515267e+10 1.126293e+11 6.160804e+10
4.270477e+12 1.555187e+11 2.038129e+11 1.096795e+11 1.327601e+11 1.799741e+11 8.554600e+10 8.566277e+10 1.131780e+11 6.205972e+10
4.322975e+12 1.571183e+11 2.056955e+11 1.109598e+11 1.348419e+11 1.826301e+11 8.705380e+10 8.617592e+10 1.137295e+11 6.251460e+10
4.376119e+12 1.587344e+11 2.075956e+11 1.122549e+11 1.369564e+11 1.853251e+11 8.858775e+10 8.669215e+10 1.142838e+11 6.297269e+10
4.429915e+12 1.603670e+11 2.095133e+11 1.135649e+11 1.391040e+11 1.880597e+11 9.014830e+10 8.721148e+10 1.148409e+11 6.343402e+10
4.484373e+12 1.620165e+11 2.114489e+11 1.148901e+11 1.412853e+11 1.908346e+11 9.173590e+10 8.773391e+10 1.154008e+11 6.389862e+10
4.539501e+12 1.636828e+11 2.134025e+11 1.162305e+11 1.435007e+11 1.936503e+11 9.335102e+10 8.825947e+10 1.159635e+11 6.436650e+10
4.595306e+12 1.653664e+11 2.153744e+11 1.175864e+11 1.457508e+11 1.965075e+11 9.499414e+10 8.878819e+10 1.165291e+11 6.483768e+10
4.651797e+12 1.670671e+11 2.173645e+11 1.189579e+11 1.480362e+11 1.994066e+11 9.666573e+10 8.932007e+10 1.170976e+11 6.531220e+10
4.708983e+12 1.687854e+11 2.193732e+11 1.203452e+11 1.503573e+11 2.023484e+11 9.836628e+10 8.985513e+10 1.176689e+11 6.579007e+10
4.766872e+12 1.705213e+11 2.214006e+11 1.217485e+11 1.527149e+11 2.053334e+11 1.000963e+11 9.039340e+10 1.182432e+11 6.627133e+10
4.825472e+12 1.722751e+11 2.234469e+11 1.231680e+11 1.551093e+11 2.083623e+11 1.018563e+11 9.093490e+10 1.188204e+11 6.675598e+10
4.884793e+12 1.740468e+11 2.255122e+11 1.246038e+11 1.575413e+11 2.114358e+11 1.036467e+11 9.147963e+10 1.194005e+11 6.724406e+10
4.944843e+12 1.758368e+11 2.275968e+11 1.260562e+11 1.600113e+11 2.145544e+11 1.054682e+11 9.202764e+10 1.199835e+11 6.773558e+10
5.005631e+12 1.776452e+11 2.297008e+11 1.275253e+11 1.625200e+11 2.177189e+11 1.073211e+11 9.257892e+10 1.205695e+11 6.823058e+10
5.067166e+12 1.794721e+11 2.318244e+11 1.290114e+11 1.650681e+11 2.209299e+11 1.092062e+11 9.313351e+10 1.211585e+11 6.872908e+10
5.129458e+12 1.813178e+11 2.339677e+11 1.305146e+11 1.676560e+11 2.241881e+11 1.111239e+11 9.369142e+10 1.217505e+11 6.923110e+10
5.192516e+12 1.831824e+11 2.361311e+11 1.320351e+11 1.702845e+11 2.274942e+11 1.130747e+11 9.425267e+10 1.223455e+11 6.973667e+10
5.256348e+12 1.850662e+11 2.383145e+11 1.335731e+11 1.729541e+11 2.308488e+11 1.150594e+11 9.481728e+10 1.229435e+11 7.024581e+10
5.320966e+12 1.869694e+11 2.405184e+11 1.351289e+11 1.756655e+11 2.342527e+11 1.170783e+11 9.538528e+10 1.235446e+11 7.075854e+10
5.386378e+12 1.888921e+11 2.427427e+11 1.367026e+11 1.784194e+11 2.377067e+11 1.191322e+11 9.595668e+10 1.241487e+11 7.127490e+10
5.452594e+12 1.908345e+11 2.449878e+11 1.382944e+11 1.812165e+11 2.412114e+11 1.212215e+11 9.653150e+10 1.247559e+11 7.179490e+10
5.519624e+12 1.927969e+11 2.472539e+11 1.399045e+11 1.840573e+11 2.447675e+11 1.233471e+11 9.710976e+10 1.253662e+11 7.231857e+10
5.587478e+12 1.947794e+11 2.495410e+11 1.415332e+11 1.869426e+11 2.483759e+11 1.255093e+11 9.769149e+10 1.259796e+11 7.284594e+10
